firm,title,fitScoreFull,postedDateResolved,daysAgo,postedDateSource,locationResolved,locationSource,workType,descriptionChars,enrichStatus,ats,url
WSP USA,BIM Technician Process Mechanical,8,2026-06-25,5,source,"Bengaluru, Karnataka, India",seed,,180,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89756
Stantec,Interior Designer - Buildings Government Services,8,2026-06-24,6,source,"Arlington, VA, United States",seed,,993,ok,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006444
WATG,Intermediate Designer,8,2026-06-24,6,source,Los Angeles,seed,,15000,ok,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=b70556f0-1366-4279-8a20-e6b60c4bc95b
Gensler,Interior Designer - Mid Level,8,2026-06-23,7,source,"San Antonio, TX, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Interior-Designer---Mid-Level_R-17944
Stantec,Mechanical Project Designer,8,2026-06-23,7,source,"Chicago, IL, United States",seed,,1000,ok,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006420
NBBJ,"Healthcare Project Architect Boston, Massachusetts",8,2026-06-23,7,jsonld,"Boston, Massachusetts, United States",jsonld,,3038,ok,jobvite,https://jobs.jobvite.com/nbbj/job/o8OnAfwD
HOK,Interiors - Interior Designer,8,,,none,,none,,24,ok,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3565
CetraRuddy Architecture,I3 | Interior Designer,8,,,none,"New York, New York",seed,,303,ok,bamboohr,https://cetraruddy.bamboohr.com/careers/56
CetraRuddy Architecture,I4 | Interior Designer,8,,,none,"New York, New York",seed,,300,ok,bamboohr,https://cetraruddy.bamboohr.com/careers/57
LMN Architects,Interior Designer,8,,,none,,none,,1546,ok,custom,https://lmnarchitects.com/careers#op-698219-interior-designer
Perkins Eastman,Designer II,8,,,none,,none,HYBRID,4641,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747450&req_loc=1371547&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer II,8,,,none,,none,HYBRID,5209,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742485&req_loc=1364135&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Designer,8,,,none,,none,REMOTE,10584,ok,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/53
Handel Architects,Project Architect/Designer,8,,,none,,none,REMOTE,10644,ok,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/52
Elkus Manfredi,Designer / Architect II,8,,,none,,none,,5297,ok,custom,https://www.elkus-manfredi.com/job/designer-architect-ii-2/
WSP USA,Facade Designer,7,2026-06-30,0,source,"Bengaluru, Karnataka, India",seed,,359,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90009
NBBJ,"Project Architect - Healthcare, Commercial Practices Los Angeles, California San Diego, California",7,2026-06-26,4,jsonld,"Los Angeles, California, United States",jsonld,,3118,ok,jobvite,https://jobs.jobvite.com/nbbj/job/okXpAfw0
Arcadis North America,"Constructief Bim manager/coördinatorRotterdam, Zuid-Holland, Netherlands + 3 moreBIMCompany PriorityPosted 6 days ago",7,2026-06-24,6,jsonld,"Rotterdam, ZH,NL, [object Object]",jsonld,HYBRID,6779,ok,eightfold (pw-fallback),https://jobs.arcadis.com/careers/job/563671531449515?domain=arcadis.com
HOK,Project Architect,7,,,none,,none,HYBRID,6848,ok,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3541
HOK,Interiors - Architect,7,,,none,,none,HYBRID,6420,ok,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3507
Perkins Eastman,Architect II,7,,,none,,none,HYBRID,4069,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3732013&req_loc=1348144&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Gensler,Technical Designer,6,2026-06-30,0,source,"Atlanta, GA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Atlanta-GA-US/Technical-Designer_R-17184
AECOM,Deputy Designer - BIM Bridges,6,2026-06-30,0,source,"Bengaluru, KA, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134934074
WSP USA,BIM Modeler - Digital Innovation,6,2026-06-30,0,source,"Noida, Uttar Pradesh, India",seed,,596,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89991
WSP USA,Architect - Design,6,2026-06-30,0,source,"Bengaluru, Karnataka, India",seed,,675,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90003
Gensler,Architect- Workplace - Hospitality - Mixed Use,6,2026-06-29,1,source,"Tampa, FL, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Tampa-FL-US/Architect--Workplace---Hospitality---Mixed-Use_R-17864
Gensler,Technical Designer - Junior,6,2026-06-29,1,source,"Washington, DC, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Technical-Designer---Junior_R-17433
Gensler,Project Architect,6,2026-06-29,1,source,"Washington, DC, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Project-Architect_R-17970
AECOM,BIM & Digital Specialist,6,2026-06-29,1,source,"Madrid, es",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134802749
AECOM,Coordinador/a BIM MEP,6,2026-06-29,1,source,"Barcelona, es",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134764360
AECOM,BIM Manager - Nuclear,6,2026-06-29,1,source,"Warrington, gb",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134744069
AECOM,BIM Manager - Energy,6,2026-06-29,1,source,"Glasgow, gb",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134743959
AECOM,BIM Manager - Energy,6,2026-06-29,1,source,"Edinburgh, gb",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134742575
AECOM,BIM Manager,6,2026-06-29,1,source,"Riyadh, SA, sa",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134739769
AECOM,Chief BIM Modeller - Highways,6,2026-06-29,1,source,"Centurion, 263A WEST AVENUE, za",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134728599
AECOM,Deputy Designer - BIM Electrical,6,2026-06-29,1,source,"Gurugram, HARYANA, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134714267
AECOM,Assistant Landscape Architect - Architecture,6,2026-06-29,1,source,"Gurugram, HARYANA, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134703690
AECOM,"Project BIM Modeler, M&E",6,2026-06-29,1,source,"Bukit Damansara, my",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134683821
WSP USA,"Engineering Drafter/Designer, Nuclear",6,2026-06-29,1,source,"Toronto, ON, Canada",seed,,21,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89697
WSP USA,"Early Professional, Transmission Line Engineer/Designer",6,2026-06-29,1,source,"Edmonton, AB, Canada",seed,,24,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90088
Gensler,Technical Designer - Mid Level,6,2026-06-27,3,source,"Boston, MA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Boston-MA-US/Technical-Designer---Mid-Level_R-17958
Gensler,Technical Designer - Junior,6,2026-06-26,4,source,"Seattle, WA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Seattle-WA-US/Technical-Designer---Critical-Facilities---Junior_R-16759
Gensler,Technical Designer - Junior,6,2026-06-26,4,source,"San Jose, CA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Jose-CA-US/Technical-Designer---Junior_R-17968
Gensler,Project Architect,6,2026-06-26,4,source,"Detroit, MI, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Detroit-MI-US/Project-Architect---Senior_R-15374
Gensler,Technical Designer - Cities - Mid Level,6,2026-06-26,4,source,"Austin, TX, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Austin-TX-US/Technical-Designer---Cities---Mid-Level_R-17959
AECOM,BIM Modeling Mechanical (Data Center),6,2026-06-26,4,source,"Bucharest, 11-15 TIPOGRAFILOR S, ro",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134444339
AECOM,Design Engineer - Building Architect,6,2026-06-26,4,source,"Dubai, UAE, ae",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134414680
AECOM,Graduate - Landscape Architect,6,2026-06-26,4,source,"Dubai, UAE, ae",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134407599
WSP USA,Team Leader - BIM,6,2026-06-26,4,source,"Bengaluru, Karnataka, India",seed,,234,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89647
Gensler,Technical Designer - Retail & Hospitality - Mid Level,6,2026-06-25,5,source,"Oakland, CA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Technical-Designer---Lifestyle_R-17735
Gensler,Architect - Junior,6,2026-06-25,5,source,"Santo Domingo, Dominican Republic",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Junior_R-17961
Gensler,Architect - Interior Architecture,6,2026-06-25,5,source,"Santo Domingo, Dominican Republic",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Interior-Architecture_R-17929
Gensler,BIM Modelers – Critical Facilities,6,2026-06-25,5,source,"Sydney, Australia",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Sydney-Australia/BIM-Modelers---Critical-Facilities_R-17920
AECOM,Designer Mechanical- Wastewater,6,2026-06-25,5,source,"Mumbai, TIMES SQUARE, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134167969
WSP USA,"Designer, Cable Containment, Rail and Transit",6,2026-06-25,5,source,"Toronto, ON, Canada",seed,,242,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89581
WSP USA,BIM Engineer - Building Technology Systems,6,2026-06-25,5,source,"Bengaluru, Karnataka, India",seed,,519,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89719
WSP USA,Telecommunications Designer,6,2026-06-25,5,source,"Herndon, VA, United States",seed,,999,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89871
Gensler,BIM Operator – Critical Facilities,6,2026-06-24,6,source,"Tokyo, Japan",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Tokyo-Japan/BIM-Operator---Critical-Facilities_R-17930
AECOM,Designer Mechanical- Wastewater,6,2026-06-24,6,source,"Gurugram, HARYANA, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133957909
AECOM,"Control System Designer, Data Centers - Remote (U.S.)",6,2026-06-24,6,source,"Arlington, VA, us",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133940220
AECOM,Landscape Architect - Architecture,6,2026-06-24,6,source,"Bengaluru, KA, in",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133884999
WSP USA,Packaging & Material Handling System Designer,6,2026-06-24,6,source,"Meridian, ID, United States",seed,,989,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89236
Gensler,Designer - Retail & Hospitality - Mid Level,6,2026-06-23,7,source,"Oakland, CA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Designer---Lifestyle--Retail---Hospitality----Mid-Level_R-17800
Gensler,Project Architect –  Mid Level,6,2026-06-23,7,source,"Newport Beach, CA, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Newport-Beach-CA-US/Project-Architect---Work---Mid-Level_R-17855
Gensler,Architect - Critical Facilities - Mid Level,6,2026-06-23,7,source,"Kansas City, MO, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Kansas-City-MO-US/Architect---Critical-Facilities---Mid-Level_R-17942
Gensler,Architect - Mid Level,6,2026-06-23,7,source,"San Antonio, TX, US",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Architect---Mid-Level_R-17945
Gensler,BIM Modelers – Critical Facilities,6,2026-06-23,7,source,"Bangkok, Thailand",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Bangkok-Thailand/BIM-Modelers---Critical-Facilities_R-17903
Gensler,Technical Designer - Mid Level,6,2026-06-23,7,source,"Bangalore, India",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Bangalore-India/Technical-Designer---Mid-Level_R-17916
Gensler,Project Architect - Core & Shell,6,2026-06-23,7,source,"Gurugram, India",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Gurugram-India/Project-Architect---Core---Shell_R-17917
Perkins Eastman,Library Planner | Programmer | Architect,6,,,none,,none,HYBRID,4037,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1354917&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,,,none,,none,HYBRID,4037,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364744&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,,,none,,none,HYBRID,4037,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364745&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,,,none,,none,HYBRID,4037,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364746&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,,,none,,none,HYBRID,4037,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364747&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
CetraRuddy Architecture,A3 | Architectural Staff,6,,,none,"New York, New York",seed,,302,ok,bamboohr,https://cetraruddy.bamboohr.com/careers/37
CetraRuddy Architecture,A5 | Project Architect,6,,,none,"New York, New York",seed,,303,ok,bamboohr,https://cetraruddy.bamboohr.com/careers/53
LMN Architects,Project Architect,6,,,none,,none,,1546,ok,custom,https://lmnarchitects.com/careers#op-696474-project-architect
LMN Architects,Staff Architect,6,,,none,,none,,1546,ok,custom,https://lmnarchitects.com/careers#op-696470-staff-architect
BIG (Bjarke Ingels Group),TitleSenior Architect (Florida Licensed)DepartmentArchitectsLocationNew York,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/b232d913-c8aa-4543-bc4f-290ac67b8766/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Hospitality SpecialistDepartmentArchitectsLocationBarcelona,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/87676c89-0503-488c-9cd3-771e5254a4b8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Tower SpecialistDepartmentArchitectsLocationBarcelona,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/4a0cac08-f164-4288-9286-86cd78cdfbc8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect. On-site Project in CyprusDepartmentArchitectsLocationBarcelona,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/79d84eee-37a8-4932-9a28-8bd763a16db5/apply
BIG (Bjarke Ingels Group),TitleLandscape Architect/DesignerDepartmentLandscapeLocationNew York,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/8aea5b84-ae9d-495a-8a9c-052629881d17/apply
BIG (Bjarke Ingels Group),TitleSenior Architect with façade experienceDepartmentArchitectsLocationBarcelona,6,,,none,,none,,0,ok,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/50199354-03cf-4950-adfb-b4dfc7c8f7de/apply
