firm,title,fitScoreFull,geo,postedDateResolved,daysAgo,locationResolved,workType,ats,url
Handel Architects,Project Architect/Designer,8,unknown,,,,REMOTE,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/52
Elkus Manfredi,Designer / Architect II,8,unknown,,,,,custom,https://www.elkus-manfredi.com/job/designer-architect-ii-2/
NBBJ,"Project Architect - Healthcare, Commercial Practices Los Angeles, California San Diego, California",7,us,2026-06-26,4,"Los Angeles, California, United States",,jobvite,https://jobs.jobvite.com/nbbj/job/okXpAfw0
Arcadis North America,"Constructief Bim manager/coördinatorRotterdam, Zuid-Holland, Netherlands + 3 moreBIMCompany PriorityPosted 6 days ago",7,unknown,2026-06-24,6,"Rotterdam, ZH,NL, [object Object]",HYBRID,eightfold (pw-fallback),https://jobs.arcadis.com/careers/job/563671531449515?domain=arcadis.com
HOK,Project Architect,7,unknown,,,,HYBRID,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3541
HOK,Interiors - Architect,7,unknown,,,,HYBRID,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3507
Perkins Eastman,Architect II,7,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3732013&req_loc=1348144&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Gensler,Technical Designer,6,us,2026-06-30,0,"Atlanta, GA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Atlanta-GA-US/Technical-Designer_R-17184
Gensler,Architect- Workplace - Hospitality - Mixed Use,6,us,2026-06-29,1,"Tampa, FL, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Tampa-FL-US/Architect--Workplace---Hospitality---Mixed-Use_R-17864
Gensler,Technical Designer - Junior,6,us,2026-06-29,1,"Washington, DC, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Technical-Designer---Junior_R-17433
Gensler,Project Architect,6,us,2026-06-29,1,"Washington, DC, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Project-Architect_R-17970
Gensler,Technical Designer - Mid Level,6,us,2026-06-27,3,"Boston, MA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Boston-MA-US/Technical-Designer---Mid-Level_R-17958
Gensler,Technical Designer - Junior,6,us,2026-06-26,4,"Seattle, WA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Seattle-WA-US/Technical-Designer---Critical-Facilities---Junior_R-16759
Gensler,Technical Designer - Junior,6,us,2026-06-26,4,"San Jose, CA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Jose-CA-US/Technical-Designer---Junior_R-17968
Gensler,Project Architect,6,us,2026-06-26,4,"Detroit, MI, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Detroit-MI-US/Project-Architect---Senior_R-15374
Gensler,Technical Designer - Cities - Mid Level,6,us,2026-06-26,4,"Austin, TX, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Austin-TX-US/Technical-Designer---Cities---Mid-Level_R-17959
Gensler,Technical Designer - Retail & Hospitality - Mid Level,6,us,2026-06-25,5,"Oakland, CA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Technical-Designer---Lifestyle_R-17735
WSP USA,Telecommunications Designer,6,us,2026-06-25,5,"Herndon, VA, United States",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89871
AECOM,"Control System Designer, Data Centers - Remote (U.S.)",6,us,2026-06-24,6,"Arlington, VA, us",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133940220
WSP USA,Packaging & Material Handling System Designer,6,us,2026-06-24,6,"Meridian, ID, United States",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89236
Gensler,Designer - Retail & Hospitality - Mid Level,6,us,2026-06-23,7,"Oakland, CA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Designer---Lifestyle--Retail---Hospitality----Mid-Level_R-17800
Gensler,Project Architect –  Mid Level,6,us,2026-06-23,7,"Newport Beach, CA, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Newport-Beach-CA-US/Project-Architect---Work---Mid-Level_R-17855
Gensler,Architect - Critical Facilities - Mid Level,6,us,2026-06-23,7,"Kansas City, MO, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/Kansas-City-MO-US/Architect---Critical-Facilities---Mid-Level_R-17942
Gensler,Architect - Mid Level,6,us,2026-06-23,7,"San Antonio, TX, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Architect---Mid-Level_R-17945
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1354917&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364744&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364745&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364746&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364747&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
CetraRuddy Architecture,A3 | Architectural Staff,6,us,,,"New York, New York",,bamboohr,https://cetraruddy.bamboohr.com/careers/37
CetraRuddy Architecture,A5 | Project Architect,6,us,,,"New York, New York",,bamboohr,https://cetraruddy.bamboohr.com/careers/53
LMN Architects,Project Architect,6,unknown,,,,,custom,https://lmnarchitects.com/careers#op-696474-project-architect
LMN Architects,Staff Architect,6,unknown,,,,,custom,https://lmnarchitects.com/careers#op-696470-staff-architect
BIG (Bjarke Ingels Group),TitleSenior Architect (Florida Licensed)DepartmentArchitectsLocationNew York,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/b232d913-c8aa-4543-bc4f-290ac67b8766/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Hospitality SpecialistDepartmentArchitectsLocationBarcelona,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/87676c89-0503-488c-9cd3-771e5254a4b8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Tower SpecialistDepartmentArchitectsLocationBarcelona,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/4a0cac08-f164-4288-9286-86cd78cdfbc8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect. On-site Project in CyprusDepartmentArchitectsLocationBarcelona,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/79d84eee-37a8-4932-9a28-8bd763a16db5/apply
BIG (Bjarke Ingels Group),TitleLandscape Architect/DesignerDepartmentLandscapeLocationNew York,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/8aea5b84-ae9d-495a-8a9c-052629881d17/apply
BIG (Bjarke Ingels Group),TitleSenior Architect with façade experienceDepartmentArchitectsLocationBarcelona,6,unknown,,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/50199354-03cf-4950-adfb-b4dfc7c8f7de/apply
